74 1925.2991916004953 1951.3401130498582 1939.2269197512044
73 1896.4228469473728 1922.0501252562692 1910.1305390225402
72 1869.4180383945347 1894.6731965548097 1882.927893219569
71 1852.4143200486142 1877.5608481908782 1865.8670664931838
70 1822.756644286232 1847.4399123655319 1835.9629542245793
69 1799.2764249781903 1823.656791868542 1812.3217425572323
68 1777.0509462245961 1801.1534531812656 1789.948661564548
67 1755.3672698898229 1779.1991240815455 1768.121217793076
66 1734.2062267398253 1757.7734848093407 1746.8195805427526
65 1713.549009144924 1736.8578949672626 1726.0251557323752
64 1693.3778043640764 1716.4343863655736 1705.7198998256722
63 1673.675856174568 1696.485684927184 1685.8868064021178
62 1654.4272605712383 1676.9951175317442 1666.509686848533
61 1635.6156120236876 1657.9478111025826 1647.5728628882678
60 1617.2268825181302 1639.328325832301 1629.061567505201
59 1599.246984207169 1621.1226113087841 1610.9616452667904
58 1581.6622079290855 1603.31685962807 1593.2595114027736
57 1564.4596526380083 1585.8982263123926 1575.9421846893858
56 1547.6272021139405 1568.8539551280496 1558.997264711276
55 1531.1531106306604 1552.172208200816 1542.412859193038
54 1515.025860718907 1535.8418096006492 1526.1775965830857
53 1499.2347256339292 1519.8513555656696 1510.2805697016934
52 1483.7692281702907 1504.190538030106 1494.7113039422213
51 1468.619373500123 1488.8491528452369 1479.45973763273
50 1453.7757871466313 1473.8176203124028 1464.5162553185194
49 1439.2292661023446 1459.0865363891867 1449.8716228331025
48 1424.970863138894 1444.647095971069 1435.516975115514
47 1410.9920725499303 1430.4909853882784 1421.4439792930898
46 1397.2825084725375 1416.6086759913733 1407.6425219045004
45 1383.8340229381636 1402.9865820704247 1394.101937756245
44 1370.6419031829676 1389.6259617938604 1380.8202469396122
43 1357.7156249251213 1376.5320927861685 1367.8055814980598
42 1345.0186083207007 1363.6750781325252 1355.0226783992307
41 1332.5573959529538 1351.0539283709825 1342.4764238833457
40 1320.3249821468635 1338.6641595646988 1330.1603241204275
39 1308.3151569324484 1326.4994854758481 1318.0681429755807
38 1296.5218263700801 1314.5537890935834 1306.1937937106413
37 1284.9392676895777 1302.8212533718747 1294.531476905968
36 1273.5618175846068 1291.2961789143906 1283.0755300133237
35 1262.3841404519728 1279.9731925169806 1271.8205440788429
34 1251.4011794469725 1268.8469009489243 1260.7612603274654
33 1240.6077486749593 1257.912219964437 1249.8926387575505
32 1229.9988652210852 1247.1642313545694 1239.2097617687887
31 1219.5698865816066 1236.5982997501103 1228.7079212360607
30 1209.316508983274 1226.2096777881068 1218.3825491894609
29 1199.2343257591706 1215.99396864127 1208.229248015139
28 1189.3189533191403 1205.9469296006814 1198.2437407358345
27 1179.5660845330517 1196.0645271446567 1188.4218742192047
26 1169.9720512740532 1186.342365431293 1178.759692385458
25 1160.533417786287 1176.7767898091877 1169.2533539506264
24 1151.2459263354729 1167.364121422898 1159.899049782615
23 1142.1058930165862 1158.100537707901 1150.6932057635079
22 1133.1104584746352 1148.9823963678582 1141.6323202879184
21 1124.2556544303459 1140.0066430190382 1132.712964460173
20 1115.538254603965 1131.170055848624 1123.931872967108
19 1106.9553290753222 1122.468730051016 1115.2858362663878
18 1098.5035914472433 1113.9000818781674 1106.7717694489963
17 1090.1803175202717 1105.4611545333198 1098.386658444477
16 1081.9826948720138 1097.1485085165225 1090.1275767629618
15 1073.9073495304822 1088.9600083059468 1081.9917531468648
14 1065.952175993123 1080.8922168171785 1073.976412409783
13 1058.1136152919146 1072.9431594653524 1066.0788487725308
12 1050.3909404481485 1065.1094457511272 1058.2965678466062
11 1042.780362080975 1057.3887198690827 1050.6270151938577
10 1035.2787941602198 1049.7793170254138 1043.0677583456672
9 1027.885873412108 1042.277576991067 1035.6164630768399
8 1020.5975613583897 1034.8823641848055 1028.2707704958582
7 1013.4119854554364 1027.5909828206552 1021.0284699479308
6 1006.3280992774098 1020.4007032072021 1013.8874150484638
5 999.3425596013535 1013.310206666076 1006.8455002814989
4 992.4538960579955 1006.3169720086777 999.900627806038
3 985.6596076660019 999.4194578311644 993.0508288795268
2 978.9590766017241 992.6144181378168 986.2941578152999
1 972.348720064869 985.9015138852888 979.6286983089451
0 965.8279857617382 979.2811267014105 973.0529533609786
